vin,make,model,trim,transmission,color,interior
jtjbt20x350090550,LEXUS,GX,470,,,
salaa25435a302210,LAND ROVER,LR3,Standard,Automatic,,
jn1az34e35m655015,NISSAN,350Z,,,,
4f2yz961x5km06585,MAZDA,Tribute,,,,
jm1fe17n950156998,MAZDA,RX-8,,,,
jn1az34d75m606102,NISSAN,350Z,,,,
4f2cz94165km18679,MAZDA,Tribute,,,,
wvwad63b95e092759,VOLKSWAGEN,Passat,,,,
1gbhg31u841149942,CHEVROLET,Express,,,,
2c8gf68424r181684,CHRYSLER,Pacifica,Touring,,,
1b3el36x44n309600,DODGE,Stratus,SE,,,
2fahp71w24x179522,FORD,Crown Victoria,,,,
2hkyf18194h511655,HONDA,Pilot,LX,Automatic,,
jtjbt20x240053231,LEXUS,GX,470,,,
salty19494a837064,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
jm1fe17n440120229,MAZDA,RX-8,,,,
jn1az34e94t063350,NISSAN,350Z,,,,
1g1yy22g735103594,CHEVROLET,Corvette,,,,
2d4gp44373r150903,DODGE,Caravan/Grand Caravan,Sport,,,
3fahp31z03r191958,FORD,Focus,,,,
2fafp71w03x199547,FORD,Crown Victoria,,,,
salme11423a138446,LAND ROVER,Range Rover,Feature Specification 2,Automatic,,
jtjht00w733525720,LEXUS,LX,470,,,
km8sc83d91u111181,HYUNDAI,Santa Fe,,,,
1g1jf52t2y7346554,CHEVROLET,Cavalier,Cavalier,,,
2hkrl1870yh520848,HONDA,Odyssey,EX-NAVI,Automatic,,
1fmzu85p1yzc08875,FORD,Explorer,LTD,,,
2hkrl1853yh538534,HONDA,Odyssey,LX,Automatic,,
1fmeu17l8ylc41231,FORD,Expedition,,,,
1ghdx13e6yd163289,OLDSMOBILE,Silhouette,APV,,,
1j4fa49s6yp793806,JEEP,Wrangler,Sport,,,
1fmru17l7xlb69311,FORD,Expedition,,,,
1ftrx17l7xkb11765,FORD,F-150,,,,
4t3zf13c3yu242340,TOYOTA,Sienna,LE/XLE,,,
3vwrf29m0ym058400,VOLKSWAGEN,Jetta,,,,
1b4hs28z0xf592032,DODGE,Durango,Base,,,
1ftyr14v6xpb38616,FORD,Ranger,,,,
jf1sf6356xh747685,SUBARU,Forester,L,Automatic,,
1b3ej46x5wn174321,DODGE,Stratus,Base,,,
1fmzu35p1wzb39864,FORD,Explorer,XLT,,,
1fmpu18l7wla50839,FORD,Expedition,,,,
1j4fj28s6vl516548,JEEP,Cherokee,SE,,,
1g4ag55m8t6450419,BUICK,Century,,,,
1gcek19k7se256183,CHEVROLET,GMT-400,,,,
2lmhj5nk3ebl55435,LINCOLN,MKT,,,,
4a32b2ff9ce020200,MITSUBISHI,Galant,,,,
4a32b2ff2ce018093,MITSUBISHI,Galant,,,,
4a32b2ff6ce016881,MITSUBISHI,Galant,,,,
4a32b2ff3ce015283,MITSUBISHI,Galant,,,,
1b3bd4fg2bn544127,DODGE,Avenger,Express,,,
1fdss3bl7bda17087,FORD,E-350,,,,
1fdss3bl1bda24875,FORD,E-350,,,,
1ftlr1fe9bpa20981,FORD,Ranger,,,,
4a32b2ff9be030322,MITSUBISHI,Galant,,,,
5yfbu4ee9bp001763,TOYOTA,Corolla,,,,
5yfbu4ee7bp002216,TOYOTA,Corolla,,,,
2a4rr4de0ar450291,CHRYSLER,Town and Country,LX,,,
1fdss3el7ada72617,FORD,E-350,,,,
1ftne1ew6ada47165,FORD,E-150,,,,
1ftfw1ev6ake72163,FORD,F-150,Styleside,,,
4a32b2ff8ae009041,MITSUBISHI,Galant,,,,
kndjj741385009013,KIA,Borrego,,,,
1gbhk24u87e150509,CHEVROLET,Silverado,LT,,,
1gbhk24u77e150694,CHEVROLET,Silverado,LT,,,
4gldv13w37d203460,BUICK,Terraza,Ext. Incomplete Mobility,,,
3gnda23d07s554657,CHEVROLET,HHR,LT,Manual,,
3gnda23d97s566824,CHEVROLET,HHR,LT,Manual,,
salae25447a421827,LAND ROVER,LR3,V6/V8 SE,Automatic,,
jm3er293770101171,MAZDA,CX-7,,,,
jm3er293370108392,MAZDA,CX-7,,,,
1g6dc67a660197035,CADILLAC,STS,V8,,,
1g6dc67ax60199015,CADILLAC,STS,V8,,,
2a4gm48406r841035,CHRYSLER,Pacifica,Base,,,
2a8gm68426r741495,CHRYSLER,Pacifica,Touring,,,
2hjyk16496h546051,HONDA,Ridgeline,,Automatic,,
1j4fa44s76p771947,JEEP,Wrangler,Sport/Unlimited,,,
1j4fa49sx6p770252,JEEP,Wrangler,Sport/Unlimited,,,
jm1fe173760201341,MAZDA,RX-8,,,,
2c4gm68425r302321,CHRYSLER,Pacifica,Touring,,,
1fmzu62k75ub30754,FORD,Explorer,XLS,,,
1fmzu73k85ua61450,FORD,Explorer,XLT,,,
1fmzu73k05ua81532,FORD,Explorer,XLT,,,
5fnyf18645b019630,HONDA,Pilot,EX-L,Automatic,,
2hkyf18715h557518,HONDA,Pilot,EX-L,Automatic,,
4f2yz96165km43519,MAZDA,Tribute,,,,
salad25415a318736,LAND ROVER,LR3,SE,Automatic,,
2c8gf68424r327727,CHRYSLER,Pacifica,Touring,,,
1fafp36z93w316808,FORD,Focus,,,,
jtjbt20x830005280,LEXUS,GX,470,,,
jf1sg65633h748354,SUBARU,Forester,2.5XS,Automatic,,
1b4gp25r92b548158,DODGE,Caravan,SE,,,
2c4gp44382r643792,CHRYSLER,Town and Country,LX,,,
1fmzu73kx2ud50003,FORD,Explorer,XLT,,,
1gcec14v2ye364654,CHEVROLET,Silverado,,,,
1fmpu16l3ylb19936,FORD,Expedition,,,,
2fmza5241yba42636,FORD,Windstar,,,,
4t3zf13cxyu211375,TOYOTA,Sienna,LE/XLE,,,
1g3nl52e3yc397135,OLDSMOBILE,Alero,,,,
4t3zf13cxxu103207,TOYOTA,Sienna,LE/XLE,,,
2c4rvabg6er134548,VOLKSWAGEN,Routan,SE,,,
1c4njrab0dd177427,JEEP,Patriot,Sport,,,
2g4gv5ek5e9293393,BUICK,Regal,Fleet,,,
2g4gv5ek1e9296842,BUICK,Regal,Fleet,,,
wbakc8c50cc437289,BMW,750Lxi,xDrive LWB,,,
1fdne1bw6cda09504,FORD,E-150,,,,
4a32b2ff0ce020439,MITSUBISHI,Galant,,,,
4a32b2ff5ce020579,MITSUBISHI,Galant,,,,
4a32b2ffxce017080,MITSUBISHI,Galant,,,,
4a32b2ff0ce025270,MITSUBISHI,Galant,,,,
4a32b2ff8ce022293,MITSUBISHI,Galant,,,,
4a32b2ff4ce019374,MITSUBISHI,Galant,,,,
4a32b2ffxce020545,MITSUBISHI,Galant,,,,
4a32b2ff6ce018582,MITSUBISHI,Galant,,,,
4a32b2ff2ce017249,MITSUBISHI,Galant,,,,
4a32b2ff5ce018525,MITSUBISHI,Galant,,,,
4a32b2ff0ce015564,MITSUBISHI,Galant,,,,
4a32b2ff4ce016796,MITSUBISHI,Galant,,,,
4a32b2ff4ce015146,MITSUBISHI,Galant,,,,
4a32b2ff3ce017471,MITSUBISHI,Galant,,,,
4a32b2ff4ce017544,MITSUBISHI,Galant,,,,
4a32b2ff6ce022812,MITSUBISHI,Galant,,,,
4a32b2ff0ce017458,MITSUBISHI,Galant,,,,
4a32b2ff3ce025229,MITSUBISHI,Galant,,,,
4a32b2ff6ce020350,MITSUBISHI,Galant,,,,
4a32b2ff4ce017480,MITSUBISHI,Galant,,,,
4a32b2ff0ce015287,MITSUBISHI,Galant,,,,
4a32b2ffxce020335,MITSUBISHI,Galant,,,,
4a32b2ff8ce024917,MITSUBISHI,Galant,,,,
4a32b2ff0ce011367,MITSUBISHI,Galant,,,,
1fdne3bl1bda10110,FORD,E-350,,,,
4a32b2ff0be009052,MITSUBISHI,Galant,,,,
5yfbu4eexbp002372,TOYOTA,Corolla,,,,
1gbhsbde5a8139918,CHEVROLET,Colorado,Work Truck,,,
2a4rr4de6ar229293,CHRYSLER,Town and Country,LX,,,
1fdne3blxada17071,FORD,E-350,,,,
1ftfw1ev5aka49218,FORD,F-150,Styleside,,,
kmhdt4bd7au843960,HYUNDAI,,,,,
5nmsgdag7ah390992,HYUNDAI,Santa Fe,GLS,,,
5y2sr67049z439993,PONTIAC,Vibe,GT,Automatic,,
5y2sr67039z424532,PONTIAC,Vibe,GT,Automatic,,
3gnca33d08s665874,CHEVROLET,HHR,LS,Manual,,
2g1wc583281237448,CHEVROLET,Impala,2LT,,,
1gbdv13w48d208464,CHEVROLET,Uplander,APV Cargo/Mobility,,,
ys3fb56y181107927,SAAB,9-3,,Manual,,
wbahl83587dt10672,BMW,750i,,,,
1gbhc34k77e568934,CHEVROLET,Silverado,LTZ,,,
3gnda23d27s571461,CHEVROLET,HHR,LT,Manual,,
1fmfk18577la31356,FORD,Expedition MAX,,,,
1ftpw025x7kd56590,FORD,F-150,,,,
2ftza54697ba18246,FORD,Freestar,,,,
1ftrx14w97kc55672,FORD,F-150,Styleside,,,
jm3er293870159161,MAZDA,CX-7,,,,
2mehm75v87x612591,MERCURY,Grand Marquis,,,,
jm1fe173470209947,MAZDA,RX-8,,,,
wdbrf52h77f838232,MERCEDES-BENZ,C-Class,,,,
jm1cr29l070151314,MAZDA,Mazda5,,,,
jm1cr293770142187,MAZDA,Mazda5,,,,
wdbrf52h17f862932,MERCEDES-BENZ,C-Class,,,,
jm1cr293670148191,MAZDA,Mazda5,,,,
5tbbt541x7s454515,TOYOTA,Tundra,SR5,,,
2gcec13z561329691,CHEVROLET,Silverado,,,,
1g6dc67a660197102,CADILLAC,STS,V8,,,
3gnda23px6s571748,CHEVROLET,HHR,LT,,,
3gnda13dx6s670280,CHEVROLET,HHR,LS,,,
3gnda23p56s575531,CHEVROLET,HHR,LT,,,
2g1wt58nx69390305,CHEVROLET,Impala,LT,,,
2a4gm68436r672561,CHRYSLER,Pacifica,Touring,,,
2a4gm68436r907900,CHRYSLER,Pacifica,Touring,,,
2a4gm68456r682282,CHRYSLER,Pacifica,Touring,,,
salmf13426a204864,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
1j4fa64s56p763325,JEEP,Wrangler,"Rubicon (U.S.) / ""TJ"" Rubicon (Canada)",,,
salmf15486a219057,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
jtjbt20x360123127,LEXUS,GX,470,,,
jn1az34d56m312053,NISSAN,350Z,,,,
1gyee63a350124568,CADILLAC,SRX,,,,
2c4gf684x5r253511,CHRYSLER,Pacifica,Touring,,,
2c4gf48455r359854,CHRYSLER,Pacifica,Base,,,
2c8gf68425r442412,CHRYSLER,Pacifica,Touring,,,
1c3an79n25x042802,CHRYSLER,Crossfire,,,,
2c4gm68425r361191,CHRYSLER,Pacifica,Touring,,,
2c8gm68415r584899,CHRYSLER,Pacifica,Touring,,,
2c4gm68405r547683,CHRYSLER,Pacifica,Touring,,,
2d4fv48v35h654385,DODGE,Magnum,Base/SXT,,,
2d8fv48v75h619072,DODGE,Magnum,Base/SXT,,,
1ftrx14wx5fa82234,FORD,F-150,Styleside,,,
1fmdu75k35za68963,FORD,Explorer,Limited,,,
2hkyf18555h530613,HONDA,Pilot,EX-L,Automatic,,
wp0aa29975s715531,PORSCHE,911,"Carrera (2WD), Carrera 4S (4WD)",,,
1gyee63a240162856,CADILLAC,SRX,,,,
1gyee637x40188500,CADILLAC,SRX,,,,
1gyee637040145817,CADILLAC,SRX,,,,
2c8gf68404r613382,CHRYSLER,Pacifica,Touring,,,
2c8gm68494r503212,CHRYSLER,Pacifica,Touring,,,
2c8gf68434r631312,CHRYSLER,Pacifica,Touring,,,
2c8gm68414r361177,CHRYSLER,Pacifica,Touring,,,
1fdne24l84hb08246,FORD,E-250,,,,
1fmyu93124kb51198,FORD,Escape,,,,
1fmcu93114ka78979,FORD,Escape,,,,
1fmzu73e74ub47308,FORD,Explorer,XLT,,,
2hkyf18474h519439,HONDA,Pilot,EX,Automatic,,
jm1fe17n940107590,MAZDA,RX-8,,,,
wdbrf61j04f470997,MERCEDES-BENZ,C-Class,,,,
wdcyr49e64x144691,MERCEDES-BENZ,G-Class,,,,
4m2zu86e64zj50946,MERCURY,Mountaineer,,,,
1gnec16t53j127112,CHEVROLET,Suburban,,,,
1fmyu93173ke21444,FORD,Escape,,,,
1fmyu93113kd77179,FORD,Escape,,,,
2fahp71w13x208474,FORD,Crown Victoria,,,,
jtjbt20x730009353,LEXUS,GX,470,,,
saltl16473a777402,LAND ROVER,Discovery,Duragrain 5 Seat,Automatic,,
2b4gp44rx2r628602,DODGE,Grand Caravan,Sport,,,
1b4gp25392b662771,DODGE,Caravan,SE,,,
1gndx03e9yd108651,CHEVROLET,Venture,APV,,,
1b4hr28z7yf249201,DODGE,Durango,Base,,,
2b4gp2532yr547391,DODGE,Caravan/Grand Caravan,Base,,,
1c4gt64l0yb621168,CHRYSLER,Town and Country,Limited,,,
1ftyr14v3yta83664,FORD,Ranger,,,,
2fmda5346ybb61016,FORD,Windstar,,,,
1ftrx18lxyna67369,FORD,F-150,,,,
1fmpu16l5ylb04497,FORD,Expedition,,,,
1ftnx21f4yee48062,FORD,F-250,,,,
1gkek13t8yj166983,GMC,Yukon,,,,
1gcdl19w1xb115016,CHEVROLET,Astro Van,,,,
2b4gp44g9xr333349,DODGE,Caravan/Grand Caravan,SE/Sport,,,
1b4hs28z1xf516268,DODGE,Durango,Base,,,
2hkrl1867xh530153,HONDA,Odyssey,EX,Automatic,,
2hkrl186xxh523858,HONDA,Odyssey,EX,Automatic,,
2gtek19r4w1524997,GMC,Sierra,,,,
1gmdx03e4wd180780,PONTIAC,Trans Sport,,,,
1fmdu35p1vua93877,FORD,Explorer,XLT,,,
1fmdu35p4vzb14014,FORD,Explorer,XLT,,,
3b7hf13z1vm569994,DODGE,Ram,1500,,,
4n2dn1113vd851206,NISSAN,Quest,,,,
jhmra186xtc009664,HONDA,Odyssey,LX,Automatic,,
4m2dv11w2tdj60724,MERCURY,Villager,,,,
jt3ac12r5p1099727,TOYOTA,Previa,,,,
2gcek19k3p1257145,CHEVROLET,GMT-400,,,,
4m2dv11w9pdj77574,MERCURY,Villager,GS,,,
1g1yy23p8p5114091,CHEVROLET,Corvette,,,,
1jccf87exft014425,JEEP,CJ-7,with Extra Duty Suspension,Manual,,
1hgca5639ja152994,HONDA,Accord,LX,Automatic,,
1g6dw51y4kr712210,CADILLAC,Brougham,,,,
2lmhj5nkxebl56002,LINCOLN,MKT,,,,
2lmhj5nk8ebl54684,LINCOLN,MKT,,,,
2lmhj5nk2ebl55992,LINCOLN,MKT,,,,
2lmhj5nk6ebl56028,LINCOLN,MKT,,,,
1gbhg39c591144975,CHEVROLET,Express,,,,
1gbhg39c791142757,CHEVROLET,Express,,,,
3gnda23d57s638148,CHEVROLET,HHR,LT,Manual,,
2g4gv5ek6e9294178,BUICK,Regal,Fleet,,,
2g4gv5ek9e9294871,BUICK,Regal,Fleet,,,
1c4njdab3dd269683,JEEP,Compass,Sport,,,
2lmhj5nk3dbl55126,LINCOLN,MKT,,,,
wbakc8c50cc434814,BMW,750Lxi,xDrive LWB,,,
wbakc8c5xcc435923,BMW,750Lxi,xDrive LWB,,,
wbakc8c52cc435477,BMW,750Lxi,xDrive LWB,,,
wbakc8c57cc436267,BMW,750Lxi,xDrive LWB,,,
1fd7x3a64cea13738,FORD,F-350,,,,
4a32b2ff2ce017686,MITSUBISHI,Galant,,,,
4a32b2ffxce024417,MITSUBISHI,Galant,,,,
4a32b2ff3ce017289,MITSUBISHI,Galant,,,,
4a32b2ff9ce022190,MITSUBISHI,Galant,,,,
4a32b2ff4ce019259,MITSUBISHI,Galant,,,,
4a32b2ff8ce018860,MITSUBISHI,Galant,,,,
4a32b2ff7ce025122,MITSUBISHI,Galant,,,,
3gnal3ek9fs503056,CHEVROLET,Captiva Sport,1LT,,,
3gnal3ek7fs502178,CHEVROLET,Captiva Sport,1LT,,,
3gnal2ek2fs517326,CHEVROLET,Captiva Sport,2LS,,,
3gnal2ek4fs506490,CHEVROLET,Captiva Sport,2LS,,,
3gnal4ek6fs511587,CHEVROLET,Captiva Sport,LTZ,,,
3gnal2ek6fs503638,CHEVROLET,Captiva Sport,2LS,,,
3gnal4ek5fs502704,CHEVROLET,Captiva Sport,LTZ,,,
3gnal2ek9fs511409,CHEVROLET,Captiva Sport,2LS,,,
waumfbfr0ba030322,AUDI,A5,,,,
wbakc6c5xbc394714,BMW,750xi,,,,
1ftkr1ae3bpa39593,FORD,Ranger,,,,
3vwdl7aj8bm051848,VOLKSWAGEN,Jetta,,Automatic,,
waukfafl5an070125,AUDI,A4,,Automatic,,
2d4cn1aexar307684,DODGE,Grand Caravan,C/V,,,
1c3cc4fd1an177025,CHRYSLER,Sebring,LX,,,
1ftne1ew4ada26413,FORD,E-150,,,,
1ftfx1ev3ake18512,FORD,F-150,Styleside,,,
1ftfw1ev9ake58967,FORD,F-150,Styleside,,,
1ftfx1ev5ake17507,FORD,F-150,Styleside,,,
1ftfw1evxaka39087,FORD,F-150,Styleside,,,
1ftfx1ev5akc01317,FORD,F-150,Styleside,,,
1ftfw1ev9akb67076,FORD,F-150,Styleside,,,
1ftfw1evxake60078,FORD,F-150,Styleside,,,
2hgfa1e49ah044439,HONDA,,,,,
kmhdb8be0au078061,HYUNDAI,Elantra Touring,,,,
4a32b2ff5ae016061,MITSUBISHI,Galant,,,,
4a32b2ff1ae013545,MITSUBISHI,Galant,,,,
1g2za5eb6a4121089,PONTIAC,G6,,,,
1fdnf205x9ea32770,FORD,F-250,,,,
1j4gz39189l728768,JEEP,Wrangler,Unlimited X,,,
5y2sn67029z410309,PONTIAC,Vibe,GT,Manual,,
1gyee637780184619,CADILLAC,SRX,,,,
2g1wu583781268627,CHEVROLET,Impala,LTZ (RPO STZ),,,
2g1wc583681238120,CHEVROLET,Impala,2LT,,,
2g1wu583x81267567,CHEVROLET,Impala,LTZ (RPO STZ),,,
2g1wu583781199146,CHEVROLET,Impala,LTZ (RPO STZ),,,
2g1wc583381205916,CHEVROLET,Impala,2LT,,,
2d8hn44h08r745443,DODGE,Caravan/Grand Caravan,SE,,,
2d8hn44h88r772101,DODGE,Caravan/Grand Caravan,SE,,,
2fafp71v58x124390,FORD,Crown Victoria,,,,
1fdnf20538ec76386,FORD,F-250,,,,
2mhhm75v28x625728,MERCURY,Grand Marquis,,,,
wp0aa29988s710357,PORSCHE,911,"Carrera (2WD), Carrera 4 (4WD)",,,
wbahl83517dt08150,BMW,750i,,,,
1gbjc34u37e122718,CHEVROLET,Silverado,LTZ,,,
3gnda13d67s570694,CHEVROLET,HHR,LS,Manual,,
3gnda33p27s518629,CHEVROLET,HHR,LT,Manual,,
3gcda15d17s632198,CHEVROLET,HHR,LS,,,
1fmfk20527la20704,FORD,Expedition MAX,,,,
2fmza51697ba17291,FORD,Freestar,,,,
salmf13437a253802,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salmf13487a252533,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salsf25427a118191,LAND ROVER,Range Rover Sport,HSE Spec 2,Automatic,,
salsk25497a993344,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
salsk25477a119879,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
jtjht00w474029547,LEXUS,LX,,,,
jm3er293470162803,MAZDA,CX-7,,,,
wdbrf52h07f919623,MERCEDES-BENZ,C-Class,,,,
jm1cr193370156842,MAZDA,Mazda5,,,,
wdbrf52h37f895639,MERCEDES-BENZ,C-Class,,,,
jm1cr293570141054,MAZDA,Mazda5,,,,
wdbrf52h87f918400,MERCEDES-BENZ,C-Class,,,,
jf1sg63607h717815,SUBARU,Forester,2.5X,Automatic,,
5tfbt54127x004827,TOYOTA,Tundra,SR5,,,
5tfrv54147x009942,TOYOTA,Tundra,SR5,,,
5tfrv54107x009050,TOYOTA,Tundra,SR5,,,
5tbrt54167s453084,TOYOTA,Tundra,SR5,,,
5tfrv54127x012046,TOYOTA,Tundra,SR5,,,
5tfdv58147x028852,TOYOTA,Tundra,Limited,,,
5tfcv54177x002084,TOYOTA,Tundra,SR5,,,
3gnda23d16s626271,CHEVROLET,HHR,LT,,,
3gnda13d56s522859,CHEVROLET,HHR,LS,,,
2a8gm68446r912148,CHRYSLER,Pacifica,Touring,,,
1c3an69l86x064720,CHRYSLER,Crossfire,Limited,,,
2a8gf78406r819465,CHRYSLER,Pacifica,Limited,,,
2a8gm48446r676475,CHRYSLER,Pacifica,Base,,,
2a8gm684x6r876157,CHRYSLER,Pacifica,Touring,,,
2d4fv47v06h147978,DODGE,Magnum,Base/SXT,,,
2d4fv47v46h370931,DODGE,Magnum,Base/SXT,,,
2hkyf18636h542253,HONDA,Pilot,EX-L( With RES),Automatic,,
2hjyk16456h548668,HONDA,Ridgeline,,Automatic,,
2hkyf18766h542482,HONDA,Pilot,EX-L( with NAVI),Automatic,,
2hkyf18506h508469,HONDA,Pilot,EX-L,Automatic,,
salme15486a228988,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
salmf13456a231959,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
1j4fa29s36p764166,JEEP,Wrangler,SE,,,
1j4fa49s76p738388,JEEP,Wrangler,Sport/Unlimited,,,
1j4fa29176p769510,JEEP,Wrangler,SE,,,
salsf25426a945798,LAND ROVER,Range Rover Sport,HSE,Automatic,,
1j4fa39s46p736334,JEEP,Wrangler,X,,,
1j4fa49s56p779666,JEEP,Wrangler,Sport/Unlimited,,,
1j4fa29146p766340,JEEP,Wrangler,SE,,,
salmf13416a221557,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
1j4fa29106p729656,JEEP,Wrangler,SE,,,
salsh23476a923471,LAND ROVER,Range Rover Sport,Supercharged,Automatic,,
1lnhm81v06y640425,LINCOLN,Town Car,,,,
salsh23496a935606,LAND ROVER,Range Rover Sport,Supercharged,Automatic,,
jm1cr29l660125864,MAZDA,Mazda5,,,,
jm1cr293060110602,MAZDA,Mazda5,,,,
2mehm75v26x609572,MERCURY,Grand Marquis,,,,
jn1az34d46m302551,NISSAN,350Z,,,,
jn1az34d96m311083,NISSAN,350Z,,,,
wp0cb29936s765544,PORSCHE,911,Turbo Cabriolet (4WD),,,
jh4kb16575c003851,ACURA,RL,,Automatic,,
1g6dc67ax50137175,CADILLAC,STS,,,,
2c8gf68485r664727,CHRYSLER,Pacifica,Touring,,,
2c4gm684x5r584952,CHRYSLER,Pacifica,Touring,,,
2d4fv48v85h129774,DODGE,Magnum,Base/SXT,,,
2d4fv48v25h648111,DODGE,Magnum,Base/SXT,,,
1b3el46t75n701572,DODGE,Stratus,SXT,,,
1fmzu73k55za09518,FORD,Explorer,XLT,,,
1fmzu63k35ua13641,FORD,Explorer,XLT,,,
1fmzu73k95ua72862,FORD,Explorer,XLT,,,
1fmdu73kx5za15468,FORD,Explorer,XLT,,,
1fmzu73k55ub71632,FORD,Explorer,XLT,,,
1ftrx14w45fa03530,FORD,F-150,Styleside,,,
2c4rdgdg5er319127,DODGE,Grand Caravan,Crew,,,
2c4rdgdg1er321098,DODGE,Grand Caravan,Crew,,,
kndje723457100395,KIA,Sportage,,,,
salad25415a319093,LAND ROVER,LR3,SE,Automatic,,
jtjbt20x950091704,LEXUS,GX,470,,,
jn1az34d55m606440,NISSAN,350Z,,,,
jm1fe17n250158382,MAZDA,RX-8,,,,
jn1az34d75m600140,NISSAN,350Z,,,,
wvwad63b15e070738,VOLKSWAGEN,Passat,,,,
1gyee63a140188977,CADILLAC,SRX,,,,
kl1vm52l44b119072,CHEVROLET,,,,,
1g1yy22g845108921,CHEVROLET,Corvette,,,,
1g1yy22g045102403,CHEVROLET,Corvette,,,,
1gyde63a540106664,CADILLAC,SRX,,,,
2c8gm68454r630488,CHRYSLER,Pacifica,Touring,,,
2c4gm68494r560026,CHRYSLER,Pacifica,Touring,,,
1b3el36x64n326849,DODGE,Stratus,SE,,,
1b3el36x14n159140,DODGE,Stratus,SE,,,
1fmyu92144ka37656,FORD,Escape,,,,
1fmzu73e34uc36924,FORD,Explorer,XLT,,,
1fmyu93134ka28395,FORD,Escape,,,,
2hkyf18534h557761,HONDA,Pilot,EX-L,Automatic,,
jtjht00w843544620,LEXUS,LX,470,,,
jtjht00w643536354,LEXUS,LX,470,,,
jm1fe173940121925,MAZDA,RX-8,,,,
jf1sg65684h729798,SUBARU,Forester,2.5XS,Automatic,,
jf1sg65654g732602,SUBARU,Forester,2.5XS,Manual,,
1fafp33z13w329282,FORD,Focus,,,,
1gdfg15t331198145,GMC,Savana,,,,
jtjbt20xx30021089,LEXUS,GX,470,,,
salty16483a779970,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
jtjbt20x630011711,LEXUS,GX,470,,,
jtjbt20x330017546,LEXUS,GX,470,,,
jtjbt20x630022532,LEXUS,GX,470,,,
jf1sg656x3h748772,SUBARU,Forester,2.5XS,Automatic,,
2c4gp443x2r731646,CHRYSLER,Town and Country,LX,,,
2c3hd46rx2h312706,CHRYSLER,Concorde,LX,,,
1fmzu62k42zc99399,FORD,Explorer,XLS,,,
km8sc83d21u080520,HYUNDAI,Santa Fe,,,,
1g3nl52e01c178459,OLDSMOBILE,Alero,,,,
1gcdm19w2yb171013,CHEVROLET,Astro Van,,,,
1fmru15l0ylc40157,FORD,Expedition,,,,
1b7gg2an5ys769870,DODGE,Dakota,Base,,,
1gccs19w9y8236910,CHEVROLET,S-10 Pickup,,,,
1fmru17l0ylc35411,FORD,Expedition,,,,
1c4gp64l3yb628636,CHRYSLER,Town and Country,Limited,,,
2fmda5343yba35129,FORD,Windstar,,,,
1ftyr10v0ypa45369,FORD,Ranger,,,,
1ftnx21fxyeb33850,FORD,F-250,,,,
1fafp5521ya262120,FORD,Taurus,,,,
2ftrx18l0yca43054,FORD,F-150,,,,
kmhwf25v0ya169235,HYUNDAI,Sonata,LHD,,,
2hkrl1862yh511673,HONDA,Odyssey,EX,Automatic,,
1j4gw58nxyc252515,JEEP,Grand Cherokee,Limited,,,
4n2xn11t7yd843855,NISSAN,Quest,,,,
4t3zf13c8yu269226,TOYOTA,Sienna,LE/XLE,,,
4t3zf13cxyu190415,TOYOTA,Sienna,LE/XLE,,,
2b6hb11y8xk526946,DODGE,Ram Van,1500,,,
1c4gp54l4xb556161,CHRYSLER,Town and Country,LX/SX,,,
1b4gp44g1xb834735,DODGE,Caravan/Grand Caravan,SE/Sport,,,
1fmru17l0xlb11931,FORD,Expedition,,,,
1ftyr14v7xpb79708,FORD,Ranger,,,,
2hkrl1863xh540310,HONDA,Odyssey,EX,Automatic,,
1j4gw68n8xc807949,JEEP,Grand Cherokee,Limited,,,
jn8ar07y0xw368826,NISSAN,Pathfinder,,,,
4n2xn11t4xd827434,NISSAN,Quest,,,,
1ftrx17l2wna75917,FORD,F-150,,,,
4t3zf13c5wu067828,TOYOTA,Sienna,LE/XLE,,,
1fmdu35pxvub11373,FORD,Explorer,XLT,,,
1fmfu18l4vlb35602,FORD,Expedition,,,,
3b7hf13z8vg780785,DODGE,Ram,1500,,,
1j4ft28s5vl609197,JEEP,Cherokee,SE,,,
1falp62w7vh137321,FORD,Thunderbird,LX,,,
1j4fy29pxvp442274,JEEP,Wrangler,SE/TJ,,,
1g3aj55m0t6387662,OLDSMOBILE,Cutlass Ciera,SL,,,
1j4gz58y2rc171978,JEEP,Grand Cherokee,Laredo,,,
1b4gh44r4rx388388,DODGE,Grand Caravan,SE,,,
1c4njdab1ed820145,JEEP,Compass,Sport,,,
1c4njdab5ed804434,JEEP,Compass,Sport,,,
1c4njcaa0ed653441,JEEP,Compass,Sport,,,
1c4njcab6ed657826,JEEP,Compass,Sport,,,
1c4njdab5ed820147,JEEP,Compass,Sport,,,
