vin,make,model,trim,transmission,color,interior
2hkrl1864yh624170,HONDA,Odyssey,EX,Automatic,,
1j4gw48n1yc295747,JEEP,Grand Cherokee,Laredo,,,
1j4fa59s0yp723644,JEEP,Wrangler,Sahara,,,
4n2xn11txyd815399,NISSAN,Quest,,,,
4n2xn11t0yd839629,NISSAN,Quest,,,,
4n2xn11t2yd802291,NISSAN,Quest,,,,
jf1sf6557yh724494,SUBARU,Forester,S,Automatic,,
4t3zf13c7yu257326,TOYOTA,Sienna,LE/XLE,,,
3b7hf13z6xg105231,DODGE,Ram,1500,,,
4b3au52n7xe029720,DODGE,Avenger,ES,,,
1b4hs28z7xf532037,DODGE,Durango,Base,,,
2fmda5244xbb52721,FORD,Windstar,,,,
2gtek19t8x1519153,GMC,Sierra,,,,
2hkrl1854xh521322,HONDA,Odyssey,LX,Automatic,,
1ftyr14v9xpa41376,FORD,Ranger,,,,
2gcek19r5w1281071,CHEVROLET,GMT-400,,,,
1b4hs28y0wf204707,DODGE,Durango,Base,,,
1b7hc13z3wj121070,DODGE,Ram,1500,,,
1ftrx17l8wnb64035,FORD,F-150,,,,
1fmru17lxwlb52274,FORD,Expedition,,,,
4m2zu52pxwuj45772,MERCURY,Mountaineer,,,,
2p4gp44rxwr694880,PLYMOUTH,Grand Voyager,SE/Expresso,,,
1ftex18l5vkb69111,FORD,F-150,Styleside,,,
1gndm19w7vb203697,CHEVROLET,Astro Van,,,,
1fmeu17lxvlc21381,FORD,Expedition,,,,
1falp62w0vh119145,FORD,Thunderbird,LX,,,
1g2wj52k7vf342962,PONTIAC,Grand Prix,,,,
1j4fy29p0vp451937,JEEP,Wrangler,SE/TJ,,,
4m2dv11w1tdj17685,MERCURY,Villager,,,,
1b4gp54l6tb437714,DODGE,Caravan/Grand Caravan,LE/ES,,,
2b4fp2536tr714792,DODGE,Caravan/Grand Caravan,Base,,,
1g1yy22p8s5109838,CHEVROLET,Corvette,,,,
2gtek19k1s1589710,GMC,Sierra,,,,
1b7hc16y5rs735751,DODGE,Ram,1500,,,
1g1yy23pxp5104159,CHEVROLET,Corvette,,,,
1ftex14h0rka99296,FORD,F-150,,,,
1ftex15n5pka07598,FORD,F-150,,,,
1fbjs31h7phb50742,FORD,E-350,XL,,,
wbakc8c57cc436155,BMW,750Lxi,xDrive LWB,,,
wbakc8c56cc436650,BMW,750Lxi,xDrive LWB,,,
wbakc8c55cc435070,BMW,750Lxi,xDrive LWB,,,
wbakc8c57cc434972,BMW,750Lxi,xDrive LWB,,,
wbakc8c54cc437618,BMW,750Lxi,xDrive LWB,,,
salmf1e42ca377857,LAND ROVER,Range Rover,HSE LUX,Automatic,,
wbxpc73477we51663,BMW,X3,3.0si SAV,,,
jm3er29l070151491,MAZDA,CX-7,,,,
jm1bk343x71632405,MAZDA,Mazda3,,,,
kl2tw55607b157132,PONTIAC,Wave,LT,,,
salme15426a212141,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
1gyde63ax40138512,CADILLAC,SRX,,,,
4b3ag42h81e009155,DODGE,Stratus,SE,,,
2hkrl1869yh577086,HONDA,Odyssey,EX,Automatic,,
jhmra1863tc009201,HONDA,Odyssey,LX,Automatic,,
1g6el5787fe612281,CADILLAC,Eldorado,,,,
1g1yy0782g5105880,CHEVROLET,Corvette,,,,
1g1yy2187h5126181,CHEVROLET,Corvette,,,,
1fmeu15n6hla53716,FORD,Bronco,,,,
wbakb8c57cc964393,BMW,750Li,LWB,,,
4a32b2ff3ce006471,MITSUBISHI,Galant,,,,
2a4rr4de7ar213457,CHRYSLER,Town and Country,LX,,,
2a4rr4de4ar304945,CHRYSLER,Town and Country,LX,,,
1ftns2el1ada69451,FORD,E-250,,,,
kmhdb8be3au050027,HYUNDAI,Elantra Touring,,,,
kmhcn4bc0au437127,HYUNDAI,Accent,GLS,,,
2d8hn44hx8r751430,DODGE,Caravan/Grand Caravan,SE,,,
3gnda13d77s619353,CHEVROLET,HHR,LS,Manual,,
wddfh34x17j230720,MERCEDES-BENZ,,,,,
5tbbv58187s458664,TOYOTA,Tundra,Limited,,,
5tbrv54127s450385,TOYOTA,Tundra,SR5,,,
2gcek13z161268438,CHEVROLET,Silverado,,,,
salmf15466a233667,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salme15466a222820,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
jtjbt20x960122290,LEXUS,GX,470,,,
jtjht00w464003545,LEXUS,LX,470,,,
jtjbt20x060118189,LEXUS,GX,470,,,
jtjht00w464007465,LEXUS,LX,470,,,
jtjbt20x860109479,LEXUS,GX,470,,,
1g6dc67a350183785,CADILLAC,STS,,,,
2d8fv48v55h100439,DODGE,Magnum,Base/SXT,,,
2hkyf18625h514040,HONDA,Pilot,EX-L,Automatic,,
km8sb12b45u977144,HYUNDAI,Santa Fe,,,,
2c8gm684x4r387437,CHRYSLER,Pacifica,Touring,,,
jtjbt20x940032408,LEXUS,GX,470,,,
jtjbt20xx40027718,LEXUS,GX,470,,,
1d4hs38z73f605347,DODGE,Durango,Sport,,,
1fmyu93183kc96003,FORD,Escape,,,,
2c3hd36m72h240362,CHRYSLER,Concorde,LXi,,,
1ftnx21sxyeb78641,FORD,F-250,,,,
1c4njdab2ed820025,JEEP,Compass,Sport,,,
1c4njrab4ed820072,JEEP,Patriot,Sport,,,
1c4njrab7ed615779,JEEP,Patriot,Sport,,,
wbakc8c59cc435668,BMW,750Lxi,xDrive LWB,,,
1g1jc6eh4c4110682,CHEVROLET,Sonic,LT,Automatic,,
1gbgsbfe5b8137354,CHEVROLET,Colorado,Work Truck,,,
5tdzk29c68s121862,TOYOTA,Sienna,CE,,,
1j4fa69s26p703575,JEEP,Wrangler,"Rubicon (U.S.) / ""TJ"" Rubicon (Canada)",,,
1fmnu42s6yed00586,FORD,Excursion,,,,
jm3lw28g0y0124264,MAZDA,MPV,,,,
1b4hr28z9xf673641,DODGE,Durango,Base,,,
1fmfu18l7vlb01041,FORD,Expedition,,,,
1j4gz78y7tc363755,JEEP,Grand Cherokee,Limited,,,
1j4gz39119l709737,JEEP,Wrangler,Unlimited X,,,
1gbhg39u671137930,CHEVROLET,Express,,,,
2a4gf48486r901606,CHRYSLER,Pacifica,Base,,,
1gyee63a350158994,CADILLAC,SRX,,,,
